"brain1","brain2","pearson_r","pearson_p","spearman_rho","spearman_p","pearson_bonf","pearson_fdr","pearson_holm","spearman_bonf","spearman_fdr","spearman_holm"
"Caudata_02","Pallidum_02",0.744293167634251,1.4393083755258e-16,0.634541080411169,0,2.46121732214912e-14,7.69130413171599e-16,2.01503172573612e-14,0,0,0
"Caudata_02","Precuneus_02",0.571211105488123,7.58062016278217e-09,0.601844426623897,5.21806792387193e-10,1.29628604783575e-06,1.35029796649557e-08,5.76127132371445e-07,8.922896149821e-08,1.39420252340953e-09,5.63551335778168e-08
"Caudata_02","Putamen_02",0.87500807792618,1.63133214823126e-28,0.814518480717358,0,2.78957797347546e-26,6.97394493368864e-27,2.74063800902852e-26,0,0,0
"Caudata_02","Raphe_D_02",0.44652262312686,1.45715048266393e-05,0.422504920901072,5.37864447077976e-05,0.00249172732535532,1.65015054659293e-05,0.000306001601359426,0.00919748204503339,6.17280674163315e-05,0.00123800250038657
"Caudata_02","Raphe_M_02",0.476466808411451,3.08631188775872e-06,0.446854268426041,1.76892864543439e-05,0.000527759332806741,3.74297399153717e-06,9.56756685205203e-05,0.00302486798369281,2.22416763506825e-05,0.000636814312356382
"Caudata_02","Thalamus_02",0.778403014692294,7.14999148323643e-19,0.737624845082744,0,1.22264854363343e-16,6.79249190907461e-18,1.10109868841841e-16,0,0,0
"Caudata_02","VTA_02",0.491296853841981,1.35307172915285e-06,0.457862506378946,1.04207414037261e-05,0.000231375265685138,1.73966365176795e-06,5.27697974369612e-05,0.00178194678003716,1.37072829233628e-05,0.000437671138956496
"Cingulate_Ant_02","Cingulate_Post_02",0.602928376055176,6.42859050577633e-10,0.494714587737843,1.56099270834809e-06,1.09928897648775e-07,1.29328114880912e-09,5.59287374002541e-08,0.000266929753127523,2.30111856144416e-06,8.74155916674929e-05
"Cingulate_Ant_02","Frontal_Mid_02",0.840573167128434,2.39163357375528e-24,0.806025369978858,0,4.08969341112152e-22,4.54410379013502e-23,3.8983627252211e-22,0,0,0
"Cingulate_Ant_02","Frontal_Sup_02",0.866227614806125,2.41683266695769e-27,0.836097543194576,0,4.13278386049765e-25,8.26556772099531e-26,4.03611055381935e-25,0,0,0
"Cingulate_Ant_02","Frontal_Sup_Medial_02",0.862894295981237,6.39967987320324e-27,0.847616096814172,0,1.09434525831775e-24,1.56335036902536e-25,1.05594717907853e-24,0,0,0
"Cingulate_Ant_02","Hypothalamus_02",0.525371506297211,1.74477928151968e-07,0.475760005832179,4.2496011682047e-06,2.98357257139865e-05,2.50720384151147e-07,9.26914600926188e-06,0.000726681799763004,5.86033709486294e-06,0.000203980856073826
"Cingulate_Ant_02","Insula_02",0.813830981601733,9.64581351225339e-22,0.764215936429248,0,1.64943411059533e-19,1.49948555508666e-20,1.5529759754728e-19,0,0,0
"Cingulate_Ant_02","LC_02",0.60396487038047,5.90337813546178e-10,0.548060800466574,6.7364441582237e-08,1.00947766116396e-07,1.21659400396554e-09,5.36837351379164e-08,1.15193195105625e-05,1.29353046295892e-07,5.59124865132567e-06
"Cingulate_Ant_02","N_Acc_02",0.716461004168627,6.08322237725036e-15,0.619031129255668,0,1.04023102650981e-12,2.53714884514588e-14,7.96902131419797e-13,0,0,0
"Cingulate_Ant_02","OFCmed_02",0.682371911302013,3.38544198034888e-13,0.732558139534884,0,5.78910578639658e-11,1.20606370549929e-12,4.19794805563261e-11,0,0,0
"Cingulate_Ant_02","Pallidum_02",0.758702907015518,1.70380021288922e-17,0.663064081067289,0,2.91349836404056e-15,1.00465460828985e-16,2.43643430443158e-15,0,0,0
"Cingulate_Ant_02","Precuneus_02",0.51034845363987,4.42463148235493e-07,0.405117737114529,0.000113515355825114,7.56611983482693e-05,5.91103112095854e-07,1.94683785223617e-05,0.0194111258460946,0.000127704775303254,0.00227030711650229
"Cingulate_Ant_02","Putamen_02",0.800975493812511,1.23651004788803e-20,0.686830210687468,0,2.11443218188854e-18,1.76202681824045e-19,1.97841607662085e-18,0,0,0
"Cingulate_Ant_02","Raphe_D_02",0.509674368717773,4.60850080555516e-07,0.489155792082817,2.10578184915019e-06,7.88053637749932e-05,6.06195105961486e-07,1.95864569394093e-05,0.000360088696204682,3.00073913503902e-06,0.00010950065615581
"Cingulate_Ant_02","Raphe_M_02",0.546580416986161,4.3337216200347e-08,0.509550193190931,6.85573970405192e-07,7.41066397025934e-06,6.80306079584578e-08,2.81691905302256e-06,0.000117233148939288,1.08549211980822e-06,4.38767341059323e-05
"Cingulate_Ant_02","Thalamus_02",0.730329492519465,9.97850868446408e-16,0.649887001530947,0,1.70632498504336e-13,4.37519226934194e-15,1.32714165503372e-13,0,0,0
"Cingulate_Ant_02","VTA_02",0.581019400121808,3.6351930486566e-09,0.452121455128672,1.37614153918794e-05,6.21618011320278e-07,6.75671751435085e-09,2.90815443892528e-07,0.00235320203201137,1.76932483609877e-05,0.000546135496323294
